AirportID,Name,stadium_name,distance_km,City,Country,IATA,ICAO,airport_lat,airport_lon,Altitude,Timezone,DST,TzDatabaseTimezone,city_name,country,lat,lon
3748,Norman Y. Mineta San Jose International Airport,Levi's Stadium,5.771034543390587,San Jose,United States,SJC,KSJC,37.362598,-121.929001,62,-8,A,America/Los_Angeles,Santa Clara,USA,37.403,-121.97
3750,Northeast Philadelphia Airport,Lincoln Financial Field,24.175145951218735,Philadelphia,United States,PNE,KPNE,40.081902,-75.010597,120,-5,A,America/New_York,Philadelphia,USA,39.901,-75.168
3752,Philadelphia International Airport,Lincoln Financial Field,7.0262271418248075,Philadelphia,United States,PHL,KPHL,39.87189865112305,-75.24109649658203,36,-5,A,America/New_York,Philadelphia,USA,39.901,-75.168
3777,Bellingham International Airport,BC Place,68.18843160880382,Bellingham,United States,BLI,KBLI,48.79280090332031,-122.53800201416016,170,-8,A,America/Los_Angeles,Vancouver,Canada,49.277,-123.112
3781,North Central State Airport,Gillette Stadium,26.668552309071508,Smithfield,United States,SFZ,KSFZ,41.9207992554,-71.49140167239999,441,-5,A,America/New_York,Foxborough,USA,42.091,-71.264
3783,Moffett Federal Airfield,Levi's Stadium,7.128337143469867,Mountain View,United States,NUQ,KNUQ,37.4161,-122.049004,32,-8,A,America/Los_Angeles,Santa Clara,USA,37.403,-121.97
3791,Opa-locka Executive Airport,Hard Rock Stadium,6.905099837170887,Miami,United States,OPF,KOPF,25.907,-80.278397,8,-5,A,America/New_York,Miami Gardens,USA,25.958,-80.239
3797,John F Kennedy International Airport,MetLife Stadium,31.587429540689712,New York,United States,JFK,KJFK,40.63980103,-73.77890015,13,-5,A,America/New_York,East Rutherford,USA,40.814,-74.075
3798,Homestead ARB Airport,Hard Rock Stadium,54.167606592440485,Homestead,United States,HST,KHST,25.48859978,-80.38359833,5,-5,A,America/New_York,Miami Gardens,USA,25.958,-80.239
3800,Sherman Army Air Field,Arrowhead Stadium,51.35810475158544,Fort Leavenworth,United States,FLV,KFLV,39.3683013916,-94.9147033691,772,-6,A,America/Chicago,Kansas City,USA,39.049,-94.484
3803,Willow Grove Naval Air Station/Joint Reserve Base,Lincoln Financial Field,33.26759794965534,Willow Grove,United States,NXX,KNXX,40.19979858,-75.14820099,358,-5,A,America/New_York,Philadelphia,USA,39.901,-75.168
3822,Snohomish County (Paine Field) Airport,Lumen Field,34.81621121254547,Everett,United States,PAE,KPAE,47.90629959,-122.2819977,606,-8,A,America/Los_Angeles,Seattle,USA,47.595,-122.332
3831,Boca Raton Airport,Hard Rock Stadium,48.55891857997463,Boca Raton,United States,BCT,KBCT,26.3784999847,-80.1076965332,13,-5,A,America/New_York,Miami Gardens,USA,25.958,-80.239
3859,New Castle Airport,Lincoln Financial Field,44.88559617465529,Wilmington,United States,ILG,KILG,39.67869949,-75.60649872,80,-5,A,America/New_York,Philadelphia,USA,39.901,-75.168
3867,John Wayne Airport-Orange County Airport,SoFi Stadium,53.331131801660106,Santa Ana,United States,SNA,KSNA,33.67570114,-117.8679962,56,-8,A,America/Los_Angeles,Inglewood,USA,33.953,-118.339
3869,Kendall-Tamiami Executive Airport,Hard Rock Stadium,39.564863788110266,Kendall-tamiami,United States,TMB,KTMB,25.6478996277,-80.432800293,8,-5,A,America/New_York,Miami Gardens,USA,25.958,-80.239
3993,Downtown-Manhattan/Wall St Heliport,MetLife Stadium,13.719539614084068,New York,United States,JRB,KJRB,40.70119858,-74.00900269,7,-5,A,America/New_York,East Rutherford,USA,40.814,-74.075
4065,David Wayne Hooks Memorial Airport,NRG Stadium,44.0727144290886,Houston,United States,DWH,KDWH,30.0618000031,-95.5528030396,152,-6,A,America/Chicago,Houston,USA,29.685,-95.411
4071,Van Nuys Airport,SoFi Stadium,31.761143349067705,Van Nuys,United States,VNY,KVNY,34.209800720215,-118.48999786377,802,-8,A,America/Los_Angeles,Inglewood,USA,33.953,-118.339
4220,Sugar Land Regional Airport,NRG Stadium,24.726591594811804,Sugar Land,United States,SGR,KSGR,29.622299194336,-95.65650177002,82,-6,A,America/Chicago,Houston,USA,29.685,-95.411
4226,West Houston Airport,NRG Stadium,29.277031205630024,Houston,United States,IWS,KIWS,29.818199157699997,-95.6725997925,111,-6,A,America/Chicago,Houston,USA,29.685,-95.411
4293,Charles B. Wheeler Downtown Airport,Arrowhead Stadium,12.499892818000113,Kansas City,United States,MKC,KMKC,39.123199462890625,-94.5927963256836,759,-6,A,America/Chicago,Kansas City,USA,39.049,-94.484
4298,El Toro Marine Corps Air Station,SoFi Stadium,64.05518922751193,Santa Ana,United States,NZJ,KNZJ,33.67610168457031,-117.7310028076172,383,-8,A,America/Los_Angeles,Inglewood,USA,33.953,-118.339
5500,Vancouver Harbour Water Aerodrome,BC Place,1.9360685356260894,Vancouver,Canada,CXH,CYHC,49.2943992615,-123.111000061,0,-8,A,America/Vancouver,Vancouver,Canada,49.277,-123.112
5613,Los Alamitos Army Air Field,SoFi Stadium,32.10268823442641,Solwesi,Zambia,\N,KSLI,33.79000092,-118.052002,32,-8,U,America/Los_Angeles,Inglewood,USA,33.953,-118.339
5737,New Bedford Regional Airport,Gillette Stadium,52.67566719777165,New Bedford,United States,EWB,KEWB,41.67610168457031,-70.95690155029297,80,-5,A,America/New_York,Foxborough,USA,42.091,-71.264
6426,Worcester Regional Airport,Gillette Stadium,54.08258705116625,Worcester,United States,ORH,KORH,42.26729965209961,-71.87570190429688,1009,-5,A,America/New_York,Foxborough,USA,42.091,-71.264
6445,Bremerton National Airport,Lumen Field,34.5273636264243,Bremerton,United States,PWT,KPWT,47.490200042725,-122.76499938965,444,-8,A,America/Los_Angeles,Seattle,USA,47.595,-122.332
6455,Berkley Structures Heliport,Lumen Field,16.816362380775896,Pagerungan,Indonesia,\N,WA19,47.682043,-122.148456,50,-8,N,America/Los_Angeles,Seattle,USA,47.595,-122.332
6481,Fullerton Municipal Airport,SoFi Stadium,34.33055075561853,Fullerton,United States,FUL,KFUL,33.8720016479,-117.980003357,96,-8,A,America/Los_Angeles,Inglewood,USA,33.953,-118.339
6948,NAS Fort Worth JRB/Carswell Field,AT&T Stadium,32.67324351375101,Dallas,United States,FWH,KNFW,32.76919937,-97.4414978,650,-6,A,America/Chicago,Dallas,USA,32.748,-97.093
7025,Catalina Airport,SoFi Stadium,61.360992785375544,Catalina Island,United States,AVX,KAVX,33.4049,-118.416,1602,-8,A,America/Los_Angeles,Inglewood,USA,33.953,-118.339
7053,Zamperini Field,SoFi Stadium,16.63522298574459,Torrance,United States,TOA,KTOA,33.803398132324,-118.33999633789,103,-8,A,America/Los_Angeles,Inglewood,USA,33.953,-118.339
7083,Orcas Island Airport,BC Place,64.94217229653046,Eastsound,United States,ESD,KORS,48.7081985474,-122.910003662,31,-8,A,America/Los_Angeles,Vancouver,Canada,49.277,-123.112
7268,Nanaimo Harbour Water Airport,BC Place,61.734478175565826,Nanaimo,Canada,ZNA,CAC8,49.1833000183,-123.949996948,0,-8,A,America/Vancouver,Vancouver,Canada,49.277,-123.112
7269,Ganges Seaplane Base,BC Place,54.71211264619584,Ganges,Canada,YGG,CAX6,48.8545,-123.4969,0,-8,A,America/Vancouver,Vancouver,Canada,49.277,-123.112
7273,Boundary Bay Airport,BC Place,23.693008747261462,Boundary Bay,Canada,YDT,CZBB,49.0742,-123.012001,6,-8,A,America/Vancouver,Vancouver,Canada,49.277,-123.112
7274,Langley Airport,BC Place,40.072329942855774,Langley Township,Canada,YLY,CYNJ,49.10079956049999,-122.630996704,34,-8,A,America/Vancouver,Vancouver,Canada,49.277,-123.112
7497,Fulton County Airport Brown Field,Mercedes-Benz Stadium,11.447476564434536,Atlanta,United States,FTY,KFTY,33.7790985107,-84.5214004517,841,-5,A,America/New_York,Atlanta,USA,33.755,-84.401
7513,Addison Airport,AT&T Stadium,34.295041380157464,Addison,United States,ADS,KADS,32.9686012268,-96.8364028931,644,-6,A,America/Chicago,Dallas,USA,32.748,-97.093
7629,Livermore Municipal Airport,Levi's Stadium,34.894012177442754,Livermore,United States,LVK,KLVK,37.6934013367,-121.819999695,400,-8,A,America/Los_Angeles,Santa Clara,USA,37.403,-121.97
7647,Santa Monica Municipal Airport,SoFi Stadium,12.465760238218278,Santa Monica,United States,SMO,KSMO,34.015800476100004,-118.450996399,177,-8,A,America/Los_Angeles,Inglewood,USA,33.953,-118.339
7654,DeKalb Peachtree Airport,Mercedes-Benz Stadium,16.231922413000778,Atlanta,United States,PDK,KPDK,33.8755989075,-84.3020019531,1003,-5,A,America/New_York,Atlanta,USA,33.755,-84.401
7657,Morristown Municipal Airport,MetLife Stadium,28.654010009457583,Morristown,United States,MMU,KMMU,40.79940032958984,-74.41490173339844,187,-5,A,America/New_York,East Rutherford,USA,40.814,-74.075
7683,San Carlos Airport,Levi's Stadium,27.521916858064586,San Carlos,United States,SQL,KSQL,37.511901855469,-122.25,5,-8,A,America/Los_Angeles,Santa Clara,USA,37.403,-121.97
