camp_airport_dist_km,AirportID,Name,City,Country,IATA,ICAO,Latitude,Longitude,Altitude,Timezone,DST,TzDatabaseTimezone,Type,team,city_camp,country_camp,camp_name,camp_lat,camp_long
43.33377659057806,3468,North Perry Airport,Hollywood,USA,HWO,KHWO,26.0012,-80.2407,8,-5,A,America/New_York,airport,Curaçao,Boca Raton,USA,Florida Atlantic University,26.3705,-80.102
21.46017020923641,3469,San Francisco International Airport,San Francisco,USA,SFO,KSFO,37.61899948120117,-122.375,13,-8,A,America/Los_Angeles,airport,Australia,San Francisco Bay Area,USA,Oakland Roots/Soul Training Facility,37.7505,-122.1965
49.7362286374476,3469,San Francisco International Airport,San Francisco,USA,SFO,KSFO,37.61899948120117,-122.375,13,-8,A,America/Los_Angeles,airport,Paraguay,San Francisco Bay Area,USA,Spartan Soccer Complex,37.346,-121.9285
68.60888261225548,3484,Los Angeles International Airport,Los Angeles,USA,LAX,KLAX,33.94250107,-118.4079971,125,-8,A,America/Los_Angeles,airport,USA,Irvine,USA,Great Park Sports Complex,33.6713,-117.741
42.82972705541749,3489,Tipton Airport,Fort Meade,USA,FME,KFME,39.08539962769999,-76.7593994141,150,-5,A,America/New_York,airport,Croatia,Alexandria,USA,Episcopal High School,38.808,-77.103
14.695182875624004,3494,Newark Liberty International Airport,Newark,USA,EWR,KEWR,40.692501068115234,-74.168701171875,18,-5,A,America/New_York,airport,Brazil,New York New Jersey,USA,Columbia Park Training Facility,40.792,-74.0539
34.87392597352535,3494,Newark Liberty International Airport,Newark,USA,EWR,KEWR,40.692501068115234,-74.168701171875,18,-5,A,America/New_York,airport,Morocco,New York New Jersey,USA,The Pingry School,40.668,-74.581
29.264431525135315,3494,Newark Liberty International Airport,Newark,USA,EWR,KEWR,40.692501068115234,-74.168701171875,18,-5,A,America/New_York,airport,Senegal,New York New Jersey,USA,Rutgers University,40.524,-74.435
42.45580560689035,3502,Dallas Love Field,Dallas,USA,DAL,KDAL,32.847099,-96.851799,487,-6,A,America/Chicago,airport,Czechia,Dallas,USA,Mansfield Multipurpose Stadium,32.555,-97.144
34.228420169530764,3502,Dallas Love Field,Dallas,USA,DAL,KDAL,32.847099,-96.851799,487,-6,A,America/Chicago,airport,Sweden,Dallas,USA,FC Dallas Stadium,33.1546,-96.835
49.82957577347968,3505,Miramar Marine Corps Air Station - Mitscher Field,Miramar,USA,NKX,KNKX,32.86840057,-117.1429977,477,-8,A,America/Los_Angeles,airport,Iran,Tijuana,MEX,Centro Xoloitzcuintle,32.4793,-116.8789
11.705272679735165,3505,Miramar Marine Corps Air Station - Mitscher Field,Miramar,USA,NKX,KNKX,32.86840057,-117.1429977,477,-8,A,America/Los_Angeles,airport,New Zealand,San Diego,USA,University of San Diego - Torero Stadium,32.77,-117.1875
12.276338045525481,3505,Miramar Marine Corps Air Station - Mitscher Field,Miramar,USA,NKX,KNKX,32.86840057,-117.1429977,477,-8,A,America/Los_Angeles,airport,Switzerland,San Diego,USA,SDJA,32.9481,-117.234
67.96212506268222,3506,Luke Air Force Base,Phoenix,USA,LUF,KLUF,33.534999847399995,-112.383003235,1085,-7,A,America/Phoenix,airport,Türkiye,Mesa,USA,Arizona Athletic Grounds,33.355,-111.683
61.6015182876198,3508,Jack Northrop Field Hawthorne Municipal Airport,Hawthorne,USA,HHR,KHHR,33.922798,-118.334999,66,-8,A,America/Los_Angeles,airport,USA,Irvine,USA,Great Park Sports Complex,33.6713,-117.741
61.21024801897299,3511,Point Mugu Naval Air Station (Naval Base Ventura Co),Point Mugu,USA,NTD,KNTD,34.120300293,-119.121002197,13,-8,A,America/Los_Angeles,airport,Qatar,Santa Barbara,USA,Westmont College,34.4427,-119.661
7.486262490514942,3520,Ronald Reagan Washington National Airport,Washington,USA,DCA,KDCA,38.8521,-77.037697,15,-5,A,America/New_York,airport,Croatia,Alexandria,USA,Episcopal High School,38.808,-77.103
