AirportID,Name,City,Country,IATA,ICAO,stadium_name,distance_km
3484,Los Angeles International Airport,Los Angeles,United States,LAX,KLAX,SoFi Stadium,6.470576991951525
7647,Santa Monica Municipal Airport,Santa Monica,United States,SMO,KSMO,SoFi Stadium,12.465760238218278
7053,Zamperini Field,Torrance,United States,TOA,KTOA,SoFi Stadium,16.63522298574459
3582,Long Beach /Daugherty Field/ Airport,Long Beach,United States,LGB,KLGB,SoFi Stadium,22.897852390344013
3644,Bob Hope Airport,Burbank,United States,BUR,KBUR,SoFi Stadium,27.604389907302625
10017,San Gabriel Valley Airport,El Monte,United States,EMT,KEMT,SoFi Stadium,31.686249605318462
4071,Van Nuys Airport,Van Nuys,United States,VNY,KVNY,SoFi Stadium,31.761143349067705
5613,Los Alamitos Army Air Field,Solwesi,Zambia,\N,KSLI,SoFi Stadium,32.10268823442641
6481,Fullerton Municipal Airport,Fullerton,United States,FUL,KFUL,SoFi Stadium,34.33055075561853
8220,Whiteman Airport,Los Angeles,United States,WHP,KWHP,SoFi Stadium,34.73382707467445
