,team,total_direct_dist_km,travel_dist_km,all_driving_dist_km,direct_driving_dist_km,total_drive_to_airport_dist_km,total_flight_dist_km,border_crossings,no_direct_flights,same_stadium_count,drivable_count,total_distance
19,Ghana,1094.267660422995,1189.8579424820052,493.45423463119073,408.1542502178104,85.29998441338036,696.4037078508145,1,0,0,1,2158.3234712542753
20,Haiti,1475.9088516901202,1527.6167742441266,456.02382113476244,408.1542502178104,47.869570916952064,1071.592953109364,0,0,0,1,3110.33924359694
21,Iran,1553.1756963235448,1561.1937471330875,51.55810270694638,0.0,51.55810270694638,1509.6356444261412,0,0,1,1,4336.510937535299
22,Iraq,952.5182809914614,1039.471121679166,481.4888893474961,408.1542502178104,73.33463912968575,557.9822323316698,1,0,0,1,4128.004786623139
23,Ivory Coast,1088.728061547302,1262.6337429227112,146.6692782593715,0.0,146.6692782593715,1115.9644646633396,2,0,0,0,1156.7309070658887
24,Japan,1688.8737230511776,1821.544105333764,130.65586896915167,0.0,130.65586896915167,1690.8882363646123,2,0,0,0,7534.910742159968
25,Jordan,2314.95809591319,2361.609862778998,51.39507222765872,0.0,51.39507222765872,2310.2147905513393,0,0,1,1,8866.60789009905
26,Korea Republic,644.1015066916982,738.76475333602,68.80219807052477,0.0,68.80219807052477,669.9625552654952,0,0,1,1,1301.1413550130364
27,Mexico,953.1321850908342,953.1321850908342,953.1321850908342,953.1321850908342,0.0,0.0,0,0,0,2,1007.5136836831422
28,Morocco,1749.78733610618,1787.1800674693454,333.7578237530168,273.92290755237013,59.83491620064666,1453.4222437163287,0,0,0,1,3047.325521347049
29,Netherlands,1420.9425231715345,1471.1680716090511,434.006090685202,376.2612542579268,57.744836427275246,1037.1619809238491,0,0,0,1,3632.7171898255215
30,New Zealand,1748.6211773261903,1771.567639010262,85.37128128713466,0.0,85.37128128713466,1686.1963577231272,1,0,1,1,7939.414316408838
31,Norway,547.8458151047403,547.8458151047403,547.8458151047403,547.8458151047403,0.0,0.0,0,0,0,2,5432.982586580054
32,Panama,540.0866900513589,602.42388085056,62.08246242193827,0.0,62.08246242193827,540.3414184286216,1,0,1,1,1472.0636325360103
33,Paraguay,504.6130339075967,504.6130339075967,504.6130339075967,504.6130339075967,0.0,0.0,0,0,1,2,1024.1712690557454
34,Portugal,1547.1357502689045,1578.772291009462,40.94432277940588,0.0,40.94432277940588,1537.827968230056,0,0,1,1,6314.303514232738
35,Qatar,1519.1909389827656,1507.3628171524933,276.00329067025626,195.67877791401654,80.32451275623973,1231.359526482237,2,0,0,1,7084.396457587052
36,Saudi Arabia,2089.752325658509,2111.7305867015352,67.72665106617573,0.0,67.72665106617573,2044.0039356353595,0,0,0,0,6649.40874543178
37,Scotland,1972.5725361914604,1979.8245205280523,63.65621214283234,0.0,63.65621214283234,1916.16830838522,0,0,1,1,6577.423913060186
38,Senegal,540.0866900513589,602.42388085056,62.08246242193827,0.0,62.08246242193827,540.3414184286216,1,0,1,1,1251.4471704492391
39,South Africa,3942.742295076739,3989.8826203465687,101.24495729784763,0.0,101.24495729784763,3888.637663048721,2,0,0,0,5625.836518001082
40,Spain,2372.8154198015454,2401.923973923861,38.07513887045886,0.0,38.07513887045886,2363.848835053402,1,0,1,1,5456.358172597298
41,Sweden,1028.9425033507823,1105.8564726100071,444.1113402952129,376.2612542579268,67.85008603728612,661.7451323147941,1,0,0,1,2710.7749353012628
42,Switzerland,2253.234211233787,2276.180672917859,589.9843151947314,504.6130339075967,85.37128128713466,1686.1963577231272,1,0,0,1,5375.026616027668
43,Tunisia,1582.248136253961,1665.2306129843778,78.1311970768908,0.0,78.1311970768908,1587.099415907487,1,1,1,1,3176.893982307221
44,Türkiye,1828.1251949763457,1816.2970731460734,584.9375466638364,504.6130339075967,80.32451275623973,1231.359526482237,1,0,0,1,7320.913746989123
45,USA,3106.3513926470896,3122.387494266175,103.11620541389276,0.0,103.11620541389276,3019.2712888522824,0,0,0,0,3444.485886375851
46,Uruguay,2439.293616228491,2551.7114732035297,41.89643481264453,0.0,41.89643481264453,2509.815038390885,1,1,1,1,7043.745612235643
47,Uzbekistan,2349.241883853657,2430.440753951428,91.19929519868245,0.0,91.19929519868245,2339.2414587527455,1,0,0,0,6667.034581720201
