origin_stadium,destination_stadium,total_direct_flights,n_direct_routes,n_reachable_routes,avg_direct_distance_km,avg_path_distance_km,min_path_distance_km,avg_drive_distance_km,haversine_distance
Estadio Akron,NRG Stadium,1,1,2,1321.6909306651462,1614.813344823213,1321.6909306651462,48.41583742090921,1286.5752478614622
Estadio Akron,SoFi Stadium,11,3,6,2071.1640150979256,7767.661838618836,2048.6739107625503,59.91610434450258,2076.9971661405443
Estadio Azteca,AT&T Stadium,5,1,4,1510.334372713104,2336.179912084856,1510.334372713104,51.55411680875196,1508.9808715662268
Estadio Azteca,Arrowhead Stadium,0,0,2,,3649.164253738206,3500.8006895029903,64.35737940106691,2241.0317193600254
Estadio Azteca,BC Place,1,1,8,3944.6936326522236,4239.110116948934,3941.7370355983985,80.48355733733295,3957.560965978059
Estadio Azteca,BMO Field,2,1,8,3246.6656933310383,6720.3791698438,3246.6656933310383,69.20063802374557,3270.8891790286375
Estadio Azteca,Estadio Akron,5,2,2,436.0728504972468,436.0728504972468,413.03858281305065,55.02838039470088,476.5660925454171
Estadio Azteca,Estadio BBVA,9,3,4,712.5150331915728,859.4007037858789,705.9815675216063,74.46262901107778,716.7534136913309
Estadio Azteca,Gillette Stadium,0,0,8,,3951.1488622088104,3598.5165983058787,76.78815772488869,3646.6565879097743
Estadio Azteca,Hard Rock Stadium,9,2,4,2087.64142274017,2178.3990407673564,2050.707920209442,47.55686575319755,2074.4959122251835
Estadio Azteca,Levi's Stadium,4,1,6,3028.4206604523524,3181.4147142168204,3008.5036322358005,60.52976675416067,2990.571313591605
Estadio Azteca,Lincoln Financial Field,0,0,6,,6210.940174154423,3271.2886499506794,64.82281244119409,3238.502833336685
Estadio Azteca,Lumen Field,0,0,2,,6325.585924564162,6158.989159898626,46.670378757144675,3779.234458913603
Estadio Azteca,Mercedes-Benz Stadium,8,1,2,2143.3945057221927,2451.1746773754044,2143.3945057221927,43.73556981101188,2171.0264152129284
Estadio Azteca,MetLife Stadium,5,2,12,3354.023667510208,3798.7399570424373,3342.7106100831184,53.5706357334466,3373.9090349184557
Estadio Azteca,NRG Stadium,4,1,4,1231.6788840207287,2361.802995401727,1231.6788840207287,54.07626836146223,1214.6078051628317
Estadio Azteca,SoFi Stadium,9,2,12,2471.077725717084,7920.17001729023,2442.1539171581308,65.5765352850556,2499.9302299004244
Estadio BBVA,AT&T Stadium,2,1,4,845.4441181823062,1484.0099070196636,845.4441181823062,65.32793448457583,844.4368615255888
Estadio BBVA,Arrowhead Stadium,0,0,2,,1681.2859644267178,1587.099415907487,78.1311970768908,1582.248136253961
Estadio BBVA,BC Place,0,0,8,,4217.110376516226,3368.411411296698,94.25737501315685,3283.5300255582797
Estadio BBVA,BMO Field,0,0,8,,4365.038940156194,2773.8552450708853,82.97445569956946,2744.7943659637262
Estadio BBVA,Estadio Akron,5,1,2,669.9625552654952,917.5256204842723,669.9625552654952,68.80219807052477,644.1015066916982
Estadio BBVA,Estadio Azteca,7,3,4,712.5150331915728,859.4007037858789,705.9815675216063,74.46262901107778,716.7534136913309
Estadio BBVA,Gillette Stadium,0,0,8,,4024.294886186247,3198.6654010428574,90.56197540071257,3213.8364698207542
Estadio BBVA,Hard Rock Stadium,0,0,4,,2613.6938825725915,2289.8453608418795,61.330683429021434,2001.0965021386314
Estadio BBVA,Levi's Stadium,0,0,6,,3283.605238054588,2486.490962101706,74.30358442998455,2427.9914907878588
Estadio BBVA,Lincoln Financial Field,0,0,6,,3330.1294228813654,2816.836110435893,78.59663011701798,2812.647914453674
Estadio BBVA,Lumen Field,0,0,2,,3632.656389202873,3513.5971047965736,60.44419643296856,3111.7994000718586
Estadio BBVA,Mercedes-Benz Stadium,6,1,2,1745.2431573265287,1795.5581320403226,1745.2431573265287,57.50938748683576,1771.7158798638106
Estadio BBVA,MetLife Stadium,0,0,12,,3541.2877459325387,2988.8556184525933,67.34445340927049,2941.008455283563
Estadio BBVA,NRG Stadium,3,2,4,700.0278321684469,2252.803311059631,661.7451323147941,67.85008603728612,652.6812490928555
Estadio BBVA,SoFi Stadium,0,0,12,,8971.538768802086,2190.876463460221,79.35035296087949,1969.3889126541155
Gillette Stadium,AT&T Stadium,4,1,8,2509.268905512098,2952.9604081822254,2509.268905512098,67.65346319838675,2493.5035272311943
