camp_AirportID,camp_name,camp_airport_name,stad_AirportID,stadium_name,stad_airport_name,camp_team,flight_direct_distance_km,has_direct_flight,n_direct_flights,has_any_path,n_layovers,layover_airports,path_distance_km,camp_airport_dist_km,camp_airport_city,camp_Country,camp_IATA,camp_ICAO,camp_airport_lat,camp_airport_lon,camp_Altitude,camp_Timezone,camp_DST,camp_TzDatabaseTimezone,camp_city,camp_country,camp_camp_lat,camp_camp_long,stad_airport_dist_km,stad_City,stad_Country,stad_IATA,stad_ICAO,stad_airport_lat,stad_airport_lon,stad_Altitude,stad_Timezone,stad_DST,stad_TzDatabaseTimezone,stad_city_name,stad_country,stad_lat,stad_lon,stad_camp_direct_distance_km
33,National Soccer Development Centre,Nanaimo Airport,3576,Hard Rock Stadium,Miami International Airport,Canada,4545.408384491872,False,0,True,2.0,"[156.0, 3670.0]",4673.759329050775,49.69504443110012,Nanaimo,Canada,YCD,CYCD,49.0549702249,-123.869862556,92,-8,A,America/Vancouver,Vancouver,CAN,49.2444,-123.251,19.038357084154843,Miami,United States,MIA,KMIA,25.79319953918457,-80.29060363769531,8,-5,A,America/New_York,Miami Gardens,USA,25.958,-80.239,4499.838561514714
33,National Soccer Development Centre,Nanaimo Airport,3577,Lumen Field,Seattle Tacoma International Airport,Canada,212.69731311604696,False,0,True,1.0,[156.0],256.76735299353805,49.69504443110012,Nanaimo,Canada,YCD,CYCD,49.0549702249,-123.869862556,92,-8,A,America/Vancouver,Vancouver,CAN,49.2444,-123.251,16.325973089517724,Seattle,United States,SEA,KSEA,47.449001,-122.308998,433,-8,A,America/Los_Angeles,Seattle,USA,47.595,-122.332,195.53825537452414
33,National Soccer Development Centre,Nanaimo Airport,3582,SoFi Stadium,Long Beach /Daugherty Field/ Airport,Canada,1758.778512760033,False,0,True,2.0,"[156.0, 3877.0]",2020.9321438363193,49.69504443110012,Nanaimo,Canada,YCD,CYCD,49.0549702249,-123.869862556,92,-8,A,America/Vancouver,Vancouver,CAN,49.2444,-123.251,22.897852390344013,Long Beach,United States,LGB,KLGB,33.81769943,-118.1520004,60,-8,A,America/Los_Angeles,Inglewood,USA,33.953,-118.339,1747.7260755887805
33,National Soccer Development Centre,Nanaimo Airport,3589,MetLife Stadium,Westchester County Airport,Canada,3962.583099378631,False,0,True,2.0,"[156.0, 3830.0]",4068.5285496497404,49.69504443110012,Nanaimo,Canada,YCD,CYCD,49.0549702249,-123.869862556,92,-8,A,America/Vancouver,Vancouver,CAN,49.2444,-123.251,41.75822752292952,White Plains,United States,HPN,KHPN,41.06700134277344,-73.70760345458984,439,-5,A,America/New_York,East Rutherford,USA,40.814,-74.075,3903.3741279342944
33,National Soccer Development Centre,Nanaimo Airport,3624,MetLife Stadium,Teterboro Airport,Canada,3949.1929706648416,False,0,True,4.0,"[156.0, 1852.0, 3448.0, 3517.0]",7808.674491865169,49.69504443110012,Nanaimo,Canada,YCD,CYCD,49.0549702249,-123.869862556,92,-8,A,America/Vancouver,Vancouver,CAN,49.2444,-123.251,4.188337718017077,Teterboro,United States,TEB,KTEB,40.85010147089999,-74.060798645,9,-5,A,America/New_York,East Rutherford,USA,40.814,-74.075,3903.3741279342944
33,National Soccer Development Centre,Nanaimo Airport,3630,BMO Field,Niagara Falls International Airport,Canada,3474.5635856952927,False,0,True,3.0,"[156.0, 580.0, 4167.0]",16623.882193750014,49.69504443110012,Nanaimo,Canada,YCD,CYCD,49.0549702249,-123.869862556,92,-8,A,America/Vancouver,Vancouver,CAN,49.2444,-123.251,69.83926087432089,Niagara Falls,United States,IAG,KIAG,43.1072998046875,-78.94619750976562,589,-5,A,America/New_York,Toronto,Canada,43.633,-79.419,3367.1831959775245
33,National Soccer Development Centre,Nanaimo Airport,3641,Gillette Stadium,Theodore Francis Green State Airport,Canada,4090.6926538212847,False,0,True,2.0,"[156.0, 3877.0]",5443.867603580252,49.69504443110012,Nanaimo,Canada,YCD,CYCD,49.0549702249,-123.869862556,92,-8,A,America/Vancouver,Vancouver,CAN,49.2444,-123.251,41.900951947774345,Providence,United States,PVD,KPVD,41.732601,-71.420403,55,-5,A,America/New_York,Foxborough,USA,42.091,-71.264,4034.441914244245
33,National Soccer Development Centre,Nanaimo Airport,3644,SoFi Stadium,Bob Hope Airport,Canada,1712.8714479977243,False,0,True,2.0,"[156.0, 3877.0]",2008.1460939689298,49.69504443110012,Nanaimo,Canada,YCD,CYCD,49.0549702249,-123.869862556,92,-8,A,America/Vancouver,Vancouver,CAN,49.2444,-123.251,27.604389907302625,Burbank,United States,BUR,KBUR,34.20069885253906,-118.35900115966795,778,-8,A,America/Los_Angeles,Inglewood,USA,33.953,-118.339,1747.7260755887805
33,National Soccer Development Centre,Nanaimo Airport,3670,AT&T Stadium,Dallas Fort Worth International Airport,Canada,2855.1051168720574,False,0,True,1.0,[156.0],2871.590644613093,49.69504443110012,Nanaimo,Canada,YCD,CYCD,49.0549702249,-123.869862556,92,-8,A,America/Vancouver,Vancouver,CAN,49.2444,-123.251,17.32566211756595,Dallas-Fort Worth,United States,DFW,KDFW,32.896801,-97.038002,607,-6,A,America/Chicago,Dallas,USA,32.748,-97.093,2835.212946251777
33,National Soccer Development Centre,Nanaimo Airport,3682,Mercedes-Benz Stadium,Hartsfield Jackson Atlanta International Airport,Canada,3656.6765189318744,False,0,True,2.0,"[156.0, 3670.0]",4046.1224682167694,49.69504443110012,Nanaimo,Canada,YCD,CYCD,49.0549702249,-123.869862556,92,-8,A,America/Vancouver,Vancouver,CAN,49.2444,-123.251,13.391164143384923,Atlanta,United States,ATL,KATL,33.6367,-84.428101,1026,-5,A,America/New_York,Atlanta,USA,33.755,-84.401,3611.218837152223
33,National Soccer Development Centre,Nanaimo Airport,3697,MetLife Stadium,La Guardia Airport,Canada,3966.9533615757678,False,0,True,2.0,"[156.0, 3670.0]",5102.950260102093,49.69504443110012,Nanaimo,Canada,YCD,CYCD,49.0549702249,-123.869862556,92,-8,A,America/Vancouver,Vancouver,CAN,49.2444,-123.251,17.522735019743976,New York,United States,LGA,KLGA,40.77719879,-73.87259674,21,-5,A,America/New_York,East Rutherford,USA,40.814,-74.075,3903.3741279342944
33,National Soccer Development Centre,Nanaimo Airport,3726,Lumen Field,Boeing Field King County International Airport,Canada,205.43510002436653,False,0,False,,[],,49.69504443110012,Nanaimo,Canada,YCD,CYCD,49.0549702249,-123.869862556,92,-8,A,America/Vancouver,Vancouver,CAN,49.2444,-123.251,7.570167539821211,Seattle,United States,BFI,KBFI,47.529998779296875,-122.302001953125,21,-8,A,America/Los_Angeles,Seattle,USA,47.595,-122.332,195.53825537452414
33,National Soccer Development Centre,Nanaimo Airport,3734,SoFi Stadium,Ontario International Airport,Canada,1745.9440695541687,False,0,True,2.0,"[156.0, 3670.0]",4779.932749560868,49.69504443110012,Nanaimo,Canada,YCD,CYCD,49.0549702249,-123.869862556,92,-8,A,America/Vancouver,Vancouver,CAN,49.2444,-123.251,68.98613837888723,Ontario,United States,ONT,KONT,34.055999755859375,-117.60099792480467,944,-8,A,America/Los_Angeles,Inglewood,USA,33.953,-118.339,1747.7260755887805
33,National Soccer Development Centre,Nanaimo Airport,3748,Levi's Stadium,Norman Y. Mineta San Jose International Airport,Canada,1309.4931362743628,False,0,True,2.0,"[156.0, 3670.0]",5181.805435164432,49.69504443110012,Nanaimo,Canada,YCD,CYCD,49.0549702249,-123.869862556,92,-8,A,America/Vancouver,Vancouver,CAN,49.2444,-123.251,5.771034543390587,San Jose,United States,SJC,KSJC,37.362598,-121.929001,62,-8,A,America/Los_Angeles,Santa Clara,USA,37.403,-121.97,1320.721586467942
