"REF_DATE","GEO","DGUID","Air passenger traffic","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2008","Gander International, Newfoundland and Labrador","","Passenger flights","Number","223","units","0","v65778685","27.8","3855","","","","0"
"2008","Goose Bay, Newfoundland and Labrador","","Total, passengers enplaned and deplaned","Number","223","units","0","v65778662","24.1","91466","","","","0"
"2008","Goose Bay, Newfoundland and Labrador","","Passengers enplaned","Number","223","units","0","v65778663","24.2","46843","","","","0"
"2008","Goose Bay, Newfoundland and Labrador","","Passengers deplaned","Number","223","units","0","v65778664","24.3","44623","","","","0"
"2008","Goose Bay, Newfoundland and Labrador","","Total, passenger sector","Number","223","units","0","v65778665","24.4","91466","","","","0"
"2008","Goose Bay, Newfoundland and Labrador","","Domestic sector","Number","223","units","0","v65778666","24.5","91386","","","","0"
"2008","Goose Bay, Newfoundland and Labrador","","Transborder sector","Number","223","units","0","v65778667","24.6","","x","","","0"
"2008","Goose Bay, Newfoundland and Labrador","","Other International sector","Number","223","units","0","v65778668","24.7","","x","","","0"
"2008","Goose Bay, Newfoundland and Labrador","","Passenger flights","Number","223","units","0","v65778669","24.8","11982","","","","0"
"2008","Hopedale, Newfoundland and Labrador","","Total, passengers enplaned and deplaned","Number","223","units","0","v65780350","4962.1","","x","","","0"
"2008","Hopedale, Newfoundland and Labrador","","Passengers enplaned","Number","223","units","0","v65780351","4962.2","","x","","","0"
"2008","Hopedale, Newfoundland and Labrador","","Passengers deplaned","Number","223","units","0","v65780352","4962.3","","x","","","0"
"2008","Hopedale, Newfoundland and Labrador","","Total, passenger sector","Number","223","units","0","v65780353","4962.4","","x","","","0"
"2008","Hopedale, Newfoundland and Labrador","","Domestic sector","Number","223","units","0","v65780354","4962.5","","x","","","0"
"2008","Hopedale, Newfoundland and Labrador","","Transborder sector","Number","223","units","0","v65780355","4962.6","0","","","","0"
"2008","Hopedale, Newfoundland and Labrador","","Other International sector","Number","223","units","0","v65780356","4962.7","0","","","","0"
"2008","Hopedale, Newfoundland and Labrador","","Passenger flights","Number","223","units","0","v65780357","4962.8","","x","","","0"
"2008","Makkovik, Newfoundland and Labrador","","Total, passengers enplaned and deplaned","Number","223","units","0","v65780806","5184.1","","x","","","0"
"2008","Makkovik, Newfoundland and Labrador","","Passengers enplaned","Number","223","units","0","v65780807","5184.2","","x","","","0"
"2008","Makkovik, Newfoundland and Labrador","","Passengers deplaned","Number","223","units","0","v65780808","5184.3","","x","","","0"
"2008","Makkovik, Newfoundland and Labrador","","Total, passenger sector","Number","223","units","0","v65780809","5184.4","","x","","","0"
"2008","Makkovik, Newfoundland and Labrador","","Domestic sector","Number","223","units","0","v65780810","5184.5","","x","","","0"
"2008","Makkovik, Newfoundland and Labrador","","Transborder sector","Number","223","units","0","v65780811","5184.6","0","","","","0"
"2008","Makkovik, Newfoundland and Labrador","","Other International sector","Number","223","units","0","v65780812","5184.7","0","","","","0"
"2008","Makkovik, Newfoundland and Labrador","","Passenger flights","Number","223","units","0","v65780813","5184.8","","x","","","0"
"2008","Mary's Harbour, Newfoundland and Labrador","","Total, passengers enplaned and deplaned","Number","223","units","0","v65780822","5186.1","","x","","","0"
"2008","Mary's Harbour, Newfoundland and Labrador","","Passengers enplaned","Number","223","units","0","v65780823","5186.2","","x","","","0"
"2008","Mary's Harbour, Newfoundland and Labrador","","Passengers deplaned","Number","223","units","0","v65780824","5186.3","","x","","","0"
"2008","Mary's Harbour, Newfoundland and Labrador","","Total, passenger sector","Number","223","units","0","v65780825","5186.4","","x","","","0"
"2008","Mary's Harbour, Newfoundland and Labrador","","Domestic sector","Number","223","units","0","v65780826","5186.5","","x","","","0"
"2008","Mary's Harbour, Newfoundland and Labrador","","Transborder sector","Number","223","units","0","v65780827","5186.6","0","","","","0"
"2008","Mary's Harbour, Newfoundland and Labrador","","Other International sector","Number","223","units","0","v65780828","5186.7","0","","","","0"
"2008","Mary's Harbour, Newfoundland and Labrador","","Passenger flights","Number","223","units","0","v65780829","5186.8","","x","","","0"
"2008","Nain, Newfoundland and Labrador","","Total, passengers enplaned and deplaned","Number","223","units","0","v65781222","5380.1","","x","","","0"
"2008","Nain, Newfoundland and Labrador","","Passengers enplaned","Number","223","units","0","v65781223","5380.2","","x","","","0"
"2008","Nain, Newfoundland and Labrador","","Passengers deplaned","Number","223","units","0","v65781224","5380.3","","x","","","0"
"2008","Nain, Newfoundland and Labrador","","Total, passenger sector","Number","223","units","0","v65781225","5380.4","","x","","","0"
"2008","Nain, Newfoundland and Labrador","","Domestic sector","Number","223","units","0","v65781226","5380.5","","x","","","0"
"2008","Nain, Newfoundland and Labrador","","Transborder sector","Number","223","units","0","v65781227","5380.6","0","","","","0"
"2008","Nain, Newfoundland and Labrador","","Other International sector","Number","223","units","0","v65781228","5380.7","0","","","","0"
"2008","Nain, Newfoundland and Labrador","","Passenger flights","Number","223","units","0","v65781229","5380.8","","x","","","0"
"2008","Natuashish, Newfoundland and Labrador","","Total, passengers enplaned and deplaned","Number","223","units","0","v65781550","23678.1","","x","","","0"
"2008","Natuashish, Newfoundland and Labrador","","Passengers enplaned","Number","223","units","0","v65781551","23678.2","","x","","","0"
"2008","Natuashish, Newfoundland and Labrador","","Passengers deplaned","Number","223","units","0","v65781552","23678.3","","x","","","0"
"2008","Natuashish, Newfoundland and Labrador","","Total, passenger sector","Number","223","units","0","v65781553","23678.4","","x","","","0"
"2008","Natuashish, Newfoundland and Labrador","","Domestic sector","Number","223","units","0","v65781554","23678.5","","x","","","0"
"2008","Natuashish, Newfoundland and Labrador","","Transborder sector","Number","223","units","0","v65781555","23678.6","0","","","","0"
"2008","Natuashish, Newfoundland and Labrador","","Other International sector","Number","223","units","0","v65781556","23678.7","0","","","","0"
"2008","Natuashish, Newfoundland and Labrador","","Passenger flights","Number","223","units","0","v65781557","23678.8","","x","","","0"
"2008","Port Hope Simpson, Newfoundland and Labrador","","Total, passengers enplaned and deplaned","Number","223","units","0","v65780870","5198.1","","x","","","0"
"2008","Port Hope Simpson, Newfoundland and Labrador","","Passengers enplaned","Number","223","units","0","v65780871","5198.2","","x","","","0"
"2008","Port Hope Simpson, Newfoundland and Labrador","","Passengers deplaned","Number","223","units","0","v65780872","5198.3","","x","","","0"
"2008","Port Hope Simpson, Newfoundland and Labrador","","Total, passenger sector","Number","223","units","0","v65780873","5198.4","","x","","","0"
"2008","Port Hope Simpson, Newfoundland and Labrador","","Domestic sector","Number","223","units","0","v65780874","5198.5","","x","","","0"
"2008","Port Hope Simpson, Newfoundland and Labrador","","Transborder sector","Number","223","units","0","v65780875","5198.6","0","","","","0"
"2008","Port Hope Simpson, Newfoundland and Labrador","","Other International sector","Number","223","units","0","v65780876","5198.7","0","","","","0"
"2008","Port Hope Simpson, Newfoundland and Labrador","","Passenger flights","Number","223","units","0","v65780877","5198.8","","x","","","0"
"2008","Postville, Newfoundland and Labrador","","Total, passengers enplaned and deplaned","Number","223","units","0","v65780886","5201.1","","x","","","0"
"2008","Postville, Newfoundland and Labrador","","Passengers enplaned","Number","223","units","0","v65780887","5201.2","","x","","","0"
"2008","Postville, Newfoundland and Labrador","","Passengers deplaned","Number","223","units","0","v65780888","5201.3","","x","","","0"
"2008","Postville, Newfoundland and Labrador","","Total, passenger sector","Number","223","units","0","v65780889","5201.4","","x","","","0"
"2008","Postville, Newfoundland and Labrador","","Domestic sector","Number","223","units","0","v65780890","5201.5","","x","","","0"
"2008","Postville, Newfoundland and Labrador","","Transborder sector","Number","223","units","0","v65780891","5201.6","0","","","","0"
"2008","Postville, Newfoundland and Labrador","","Other International sector","Number","223","units","0","v65780892","5201.7","0","","","","0"
"2008","Postville, Newfoundland and Labrador","","Passenger flights","Number","223","units","0","v65780893","5201.8","","x","","","0"
"2008","Rigolet, Newfoundland and Labrador","","Total, passengers enplaned and deplaned","Number","223","units","0","v65780902","5204.1","","x","","","0"
"2008","Rigolet, Newfoundland and Labrador","","Passengers enplaned","Number","223","units","0","v65780903","5204.2","","x","","","0"
"2008","Rigolet, Newfoundland and Labrador","","Passengers deplaned","Number","223","units","0","v65780904","5204.3","","x","","","0"
"2008","Rigolet, Newfoundland and Labrador","","Total, passenger sector","Number","223","units","0","v65780905","5204.4","","x","","","0"
"2008","Rigolet, Newfoundland and Labrador","","Domestic sector","Number","223","units","0","v65780906","5204.5","","x","","","0"
"2008","Rigolet, Newfoundland and Labrador","","Transborder sector","Number","223","units","0","v65780907","5204.6","0","","","","0"
"2008","Rigolet, Newfoundland and Labrador","","Other International sector","Number","223","units","0","v65780908","5204.7","0","","","","0"
"2008","Rigolet, Newfoundland and Labrador","","Passenger flights","Number","223","units","0","v65780909","5204.8","","x","","","0"
"2008","St Anthony, Newfoundland and Labrador","","Total, passengers enplaned and deplaned","Number","223","units","0","v65780374","4990.1","","x","","","0"
"2008","St Anthony, Newfoundland and Labrador","","Passengers enplaned","Number","223","units","0","v65780375","4990.2","","x","","","0"
"2008","St Anthony, Newfoundland and Labrador","","Passengers deplaned","Number","223","units","0","v65780376","4990.3","","x","","","0"
"2008","St Anthony, Newfoundland and Labrador","","Total, passenger sector","Number","223","units","0","v65780377","4990.4","","x","","","0"
"2008","St Anthony, Newfoundland and Labrador","","Domestic sector","Number","223","units","0","v65780378","4990.5","","x","","","0"
"2008","St Anthony, Newfoundland and Labrador","","Transborder sector","Number","223","units","0","v65780379","4990.6","0","","","","0"
"2008","St Anthony, Newfoundland and Labrador","","Other International sector","Number","223","units","0","v65780380","4990.7","0","","","","0"
"2008","St Anthony, Newfoundland and Labrador","","Passenger flights","Number","223","units","0","v65780381","4990.8","","x","","","0"
"2008","St John's International, Newfoundland and Labrador","","Total, passengers enplaned and deplaned","Number","223","units","0","v65779286","117.1","1179630","","","","0"
"2008","St John's International, Newfoundland and Labrador","","Passengers enplaned","Number","223","units","0","v65779287","117.2","592284","","","","0"
"2008","St John's International, Newfoundland and Labrador","","Passengers deplaned","Number","223","units","0","v65779288","117.3","587346","","","","0"
"2008","St John's International, Newfoundland and Labrador","","Total, passenger sector","Number","223","units","0","v65779289","117.4","1179630","","","","0"
"2008","St John's International, Newfoundland and Labrador","","Domestic sector","Number","223","units","0","v65779290","117.5","1113011","","","","0"
"2008","St John's International, Newfoundland and Labrador","","Transborder sector","Number","223","units","0","v65779291","117.6","36758","","","","0"
"2008","St John's International, Newfoundland and Labrador","","Other International sector","Number","223","units","0","v65779292","117.7","29861","","","","0"
"2008","St John's International, Newfoundland and Labrador","","Passenger flights","Number","223","units","0","v65779293","117.8","21951","","","","0"
"2008","St Lewis (Fox Harbour), Newfoundland and Labrador","","Total, passengers enplaned and deplaned","Number","223","units","0","v65780750","5171.1","","x","","","0"
"2008","St Lewis (Fox Harbour), Newfoundland and Labrador","","Passengers enplaned","Number","223","units","0","v65780751","5171.2","","x","","","0"
"2008","St Lewis (Fox Harbour), Newfoundland and Labrador","","Passengers deplaned","Number","223","units","0","v65780752","5171.3","","x","","","0"
"2008","St Lewis (Fox Harbour), Newfoundland and Labrador","","Total, passenger sector","Number","223","units","0","v65780753","5171.4","","x","","","0"
"2008","St Lewis (Fox Harbour), Newfoundland and Labrador","","Domestic sector","Number","223","units","0","v65780754","5171.5","","x","","","0"
"2008","St Lewis (Fox Harbour), Newfoundland and Labrador","","Transborder sector","Number","223","units","0","v65780755","5171.6","0","","","","0"
"2008","St Lewis (Fox Harbour), Newfoundland and Labrador","","Other International sector","Number","223","units","0","v65780756","5171.7","0","","","","0"
"2008","St Lewis (Fox Harbour), Newfoundland and Labrador","","Passenger flights","Number","223","units","0","v65780757","5171.8","","x","","","0"
"2008","Stephenville, Newfoundland and Labrador","","Total, passengers enplaned and deplaned","Number","223","units","0","v65779294","118.1","","x","","","0"
"2008","Stephenville, Newfoundland and Labrador","","Passengers enplaned","Number","223","units","0","v65779295","118.2","","x","","","0"
"2008","Stephenville, Newfoundland and Labrador","","Passengers deplaned","Number","223","units","0","v65779296","118.3","","x","","","0"
"2008","Stephenville, Newfoundland and Labrador","","Total, passenger sector","Number","223","units","0","v65779297","118.4","","x","","","0"
"2008","Stephenville, Newfoundland and Labrador","","Domestic sector","Number","223","units","0","v65779298","118.5","","x","","","0"
"2008","Stephenville, Newfoundland and Labrador","","Transborder sector","Number","223","units","0","v65779299","118.6","0","","","","0"
"2008","Stephenville, Newfoundland and Labrador","","Other International sector","Number","223","units","0","v65779300","118.7","","x","","","0"
"2008","Stephenville, Newfoundland and Labrador","","Passenger flights","Number","223","units","0","v65779301","118.8","","x","","","0"
"2008","Wabush, Newfoundland and Labrador","","Total, passengers enplaned and deplaned","Number","223","units","0","v65779518","147.1","79974","","","","0"
"2008","Wabush, Newfoundland and Labrador","","Passengers enplaned","Number","223","units","0","v65779519","147.2","39795","","","","0"
"2008","Wabush, Newfoundland and Labrador","","Passengers deplaned","Number","223","units","0","v65779520","147.3","40179","","","","0"
"2008","Wabush, Newfoundland and Labrador","","Total, passenger sector","Number","223","units","0","v65779521","147.4","79974","","","","0"
"2008","Wabush, Newfoundland and Labrador","","Domestic sector","Number","223","units","0","v65779522","147.5","","x","","","0"
"2008","Wabush, Newfoundland and Labrador","","Transborder sector","Number","223","units","0","v65779523","147.6","","x","","","0"
"2008","Wabush, Newfoundland and Labrador","","Other International sector","Number","223","units","0","v65779524","147.7","0","","","","0"
"2008","Wabush, Newfoundland and Labrador","","Passenger flights","Number","223","units","0","v65779525","147.8","5578","","","","0"
"2008","Williams Harbour, Newfoundland and Labrador","","Total, passengers enplaned and deplaned","Number","223","units","0","v65781150","5349.1","","x","","","0"
"2008","Williams Harbour, Newfoundland and Labrador","","Passengers enplaned","Number","223","units","0","v65781151","5349.2","","x","","","0"
"2008","Williams Harbour, Newfoundland and Labrador","","Passengers deplaned","Number","223","units","0","v65781152","5349.3","","x","","","0"
"2008","Williams Harbour, Newfoundland and Labrador","","Total, passenger sector","Number","223","units","0","v65781153","5349.4","","x","","","0"
"2008","Williams Harbour, Newfoundland and Labrador","","Domestic sector","Number","223","units","0","v65781154","5349.5","","x","","","0"
"2008","Williams Harbour, Newfoundland and Labrador","","Transborder sector","Number","223","units","0","v65781155","5349.6","0","","","","0"
"2008","Williams Harbour, Newfoundland and Labrador","","Other International sector","Number","223","units","0","v65781156","5349.7","0","","","","0"
"2008","Williams Harbour, Newfoundland and Labrador","","Passenger flights","Number","223","units","0","v65781157","5349.8","","x","","","0"
"2008","Prince Edward Island","2021A000211","Total, passengers enplaned and deplaned","Number","223","units","0","v65781710","102000.1","","x","","","0"
"2008","Prince Edward Island","2021A000211","Passengers enplaned","Number","223","units","0","v65781711","102000.2","","x","","","0"
"2008","Prince Edward Island","2021A000211","Passengers deplaned","Number","223","units","0","v65781712","102000.3","","x","","","0"
"2008","Prince Edward Island","2021A000211","Total, passenger sector","Number","223","units","0","v65781713","102000.4","","x","","","0"
"2008","Prince Edward Island","2021A000211","Domestic sector","Number","223","units","0","v65781714","102000.5","","x","","","0"
"2008","Prince Edward Island","2021A000211","Transborder sector","Number","223","units","0","v65781715","102000.6","","x","","","0"
"2008","Prince Edward Island","2021A000211","Other International sector","Number","223","units","0","v65781716","102000.7","","x","","","0"
"2008","Prince Edward Island","2021A000211","Passenger flights","Number","223","units","0","v65781717","102000.8","","x","","","0"
"2008","Charlottetown, Prince Edward Island","","Total, passengers enplaned and deplaned","Number","223","units","0","v65778942","63.1","274740","","","","0"
"2008","Charlottetown, Prince Edward Island","","Passengers enplaned","Number","223","units","0","v65778943","63.2","138488","","","","0"
"2008","Charlottetown, Prince Edward Island","","Passengers deplaned","Number","223","units","0","v65778944","63.3","136252","","","","0"
"2008","Charlottetown, Prince Edward Island","","Total, passenger sector","Number","223","units","0","v65778945","63.4","274740","","","","0"
"2008","Charlottetown, Prince Edward Island","","Domestic sector","Number","223","units","0","v65778946","63.5","260980","","","","0"
"2008","Charlottetown, Prince Edward Island","","Transborder sector","Number","223","units","0","v65778947","63.6","12837","","","","0"
"2008","Charlottetown, Prince Edward Island","","Other International sector","Number","223","units","0","v65778948","63.7","923","","","","0"
"2008","Charlottetown, Prince Edward Island","","Passenger flights","Number","223","units","0","v65778949","63.8","6975","","","","0"
"2008","Summerside, Prince Edward Island","","Total, passengers enplaned and deplaned","Number","223","units","0","v65779806","188.1","","x","","","0"
"2008","Summerside, Prince Edward Island","","Passengers enplaned","Number","223","units","0","v65779807","188.2","","x","","","0"
"2008","Summerside, Prince Edward Island","","Passengers deplaned","Number","223","units","0","v65779808","188.3","","x","","","0"
"2008","Summerside, Prince Edward Island","","Total, passenger sector","Number","223","units","0","v65779809","188.4","","x","","","0"
"2008","Summerside, Prince Edward Island","","Domestic sector","Number","223","units","0","v65779810","188.5","","x","","","0"
"2008","Summerside, Prince Edward Island","","Transborder sector","Number","223","units","0","v65779811","188.6","","x","","","0"
"2008","Summerside, Prince Edward Island","","Other International sector","Number","223","units","0","v65779812","188.7","","x","","","0"
"2008","Summerside, Prince Edward Island","","Passenger flights","Number","223","units","0","v65779813","188.8","","x","","","0"
"2008","Nova Scotia","2021A000212","Total, passengers enplaned and deplaned","Number","223","units","0","v65781718","103000.1","","x","","","0"
"2008","Nova Scotia","2021A000212","Passengers enplaned","Number","223","units","0","v65781719","103000.2","","x","","","0"
