pm_label,opponent,match,start_date,pm_volume_usd,pm_volume_24h_usd,pm_p_win,country,trends_interest_local,pm_volume_norm,trends_norm
LoL: Fukuoka SoftBank Hawks Gaming,MVK Esports (BO3) - Esports World Cup Asia-Pacific Qualifier Playoffs,LoL: Fukuoka SoftBank Hawks Gaming vs MVK Esports (BO3) - Esports World Cup Asia-Pacific Qualifier Playoffs,2026-05-05T19:18:03.802901Z,59707.752058,0.0,,LoL: Fukuoka SoftBank Hawks Gaming,,0.014945743396900637,0.0
MVK Esports (BO3) - Esports World Cup Asia-Pacific Qualifier Playoffs,LoL: Fukuoka SoftBank Hawks Gaming,LoL: Fukuoka SoftBank Hawks Gaming vs MVK Esports (BO3) - Esports World Cup Asia-Pacific Qualifier Playoffs,2026-05-05T19:18:03.802901Z,59707.752058,0.0,,MVK Esports (BO3) - Esports World Cup Asia-Pacific Qualifier Playoffs,,0.014945743396900637,0.0
LoL: Fukuoka SoftBank Hawks Gaming,CTBC Flying Oyster (BO3) - Esports World Cup Asia-Pacific Qualifier Playoffs,LoL: Fukuoka SoftBank Hawks Gaming vs CTBC Flying Oyster (BO3) - Esports World Cup Asia-Pacific Qualifier Playoffs,2026-05-06T15:48:19.019279Z,59643.20313699997,0.0,,LoL: Fukuoka SoftBank Hawks Gaming,,0.014929585836507539,0.0
CTBC Flying Oyster (BO3) - Esports World Cup Asia-Pacific Qualifier Playoffs,LoL: Fukuoka SoftBank Hawks Gaming,LoL: Fukuoka SoftBank Hawks Gaming vs CTBC Flying Oyster (BO3) - Esports World Cup Asia-Pacific Qualifier Playoffs,2026-05-06T15:48:19.019279Z,59643.20313699997,0.0,,CTBC Flying Oyster (BO3) - Esports World Cup Asia-Pacific Qualifier Playoffs,,0.014929585836507539,0.0
LoL: MVK Esports,Ground Zero Gaming (BO3) - Esports World Cup Asia-Pacific Qualifier Playoffs,LoL: MVK Esports vs Ground Zero Gaming (BO3) - Esports World Cup Asia-Pacific Qualifier Playoffs,2026-05-06T15:51:12.298653Z,57166.698629999984,0.0,,LoL: MVK Esports,,0.014309679716998381,0.0
Ground Zero Gaming (BO3) - Esports World Cup Asia-Pacific Qualifier Playoffs,LoL: MVK Esports,LoL: MVK Esports vs Ground Zero Gaming (BO3) - Esports World Cup Asia-Pacific Qualifier Playoffs,2026-05-06T15:51:12.298653Z,57166.698629999984,0.0,,Ground Zero Gaming (BO3) - Esports World Cup Asia-Pacific Qualifier Playoffs,,0.014309679716998381,0.0
MVK Esports (BO3) - Esports World Cup Asia-Pacific Qualifier Playoffs,LoL: GAM Esports,LoL: GAM Esports vs MVK Esports (BO3) - Esports World Cup Asia-Pacific Qualifier Playoffs,2026-05-12T16:48:25.699326Z,46604.87491200002,0.0,,MVK Esports (BO3) - Esports World Cup Asia-Pacific Qualifier Playoffs,,0.011665897265781879,0.0
LoL: GAM Esports,MVK Esports (BO3) - Esports World Cup Asia-Pacific Qualifier Playoffs,LoL: GAM Esports vs MVK Esports (BO3) - Esports World Cup Asia-Pacific Qualifier Playoffs,2026-05-12T16:48:25.699326Z,46604.87491200002,0.0,,LoL: GAM Esports,,0.011665897265781879,0.0
LoL: DetonatioN FocusMe,Deep Cross Gaming (BO3) - Esports World Cup Asia-Pacific Qualifier Playoffs,LoL: DetonatioN FocusMe vs Deep Cross Gaming (BO3) - Esports World Cup Asia-Pacific Qualifier Playoffs,2026-05-06T15:51:12.28967Z,34311.087212,0.0,,LoL: DetonatioN FocusMe,,0.008588578324655287,0.0
Deep Cross Gaming (BO3) - Esports World Cup Asia-Pacific Qualifier Playoffs,LoL: DetonatioN FocusMe,LoL: DetonatioN FocusMe vs Deep Cross Gaming (BO3) - Esports World Cup Asia-Pacific Qualifier Playoffs,2026-05-06T15:51:12.28967Z,34311.087212,0.0,,Deep Cross Gaming (BO3) - Esports World Cup Asia-Pacific Qualifier Playoffs,,0.008588578324655287,0.0
LoL: Team Secret Whales,Fukuoka SoftBank Hawks Gaming (BO3) - Esports World Cup Asia-Pacific Qualifier Playoffs,LoL: Team Secret Whales vs Fukuoka SoftBank Hawks Gaming (BO3) - Esports World Cup Asia-Pacific Qualifier Playoffs,2026-05-07T22:42:18.242366Z,32419.550005000005,0.0,,LoL: Team Secret Whales,,0.00811509826976978,0.0
Fukuoka SoftBank Hawks Gaming (BO3) - Esports World Cup Asia-Pacific Qualifier Playoffs,LoL: Team Secret Whales,LoL: Team Secret Whales vs Fukuoka SoftBank Hawks Gaming (BO3) - Esports World Cup Asia-Pacific Qualifier Playoffs,2026-05-07T22:42:18.242366Z,32419.550005000005,0.0,,Fukuoka SoftBank Hawks Gaming (BO3) - Esports World Cup Asia-Pacific Qualifier Playoffs,,0.00811509826976978,0.0
LoL: Deep Cross Gaming,GAM Esports (BO3) - Esports World Cup Asia-Pacific Qualifier Playoffs,LoL: Deep Cross Gaming vs GAM Esports (BO3) - Esports World Cup Asia-Pacific Qualifier Playoffs,2026-05-14T00:03:45.645166Z,25982.235429000004,0.0,,LoL: Deep Cross Gaming,,0.00650374214762729,0.0
GAM Esports (BO3) - Esports World Cup Asia-Pacific Qualifier Playoffs,LoL: Deep Cross Gaming,LoL: Deep Cross Gaming vs GAM Esports (BO3) - Esports World Cup Asia-Pacific Qualifier Playoffs,2026-05-14T00:03:45.645166Z,25982.235429000004,0.0,,GAM Esports (BO3) - Esports World Cup Asia-Pacific Qualifier Playoffs,,0.00650374214762729,0.0
"T20 World Cup, Sub Regional Africa, Qualifier A: Ivory Coast",Mali,"T20 World Cup, Sub Regional Africa, Qualifier A: Ivory Coast vs Mali",2026-05-25T02:50:58.997072Z,24942.90284,206.8,0.0005,"T20 World Cup, Sub Regional Africa, Qualifier A: Ivory Coast",,0.006243581655164918,0.0
Mali,"T20 World Cup, Sub Regional Africa, Qualifier A: Ivory Coast","T20 World Cup, Sub Regional Africa, Qualifier A: Ivory Coast vs Mali",2026-05-25T02:50:58.997072Z,24942.90284,206.8,0.0005,Mali,,0.006243581655164918,0.0
LoL: Team Secret Whales,GAM Esports (BO3) - Esports World Cup Asia-Pacific Qualifier Playoffs,LoL: Team Secret Whales vs GAM Esports (BO3) - Esports World Cup Asia-Pacific Qualifier Playoffs,2026-05-06T15:51:12.277016Z,13678.664487,0.0,,LoL: Team Secret Whales,,0.003423974314698852,0.0
GAM Esports (BO3) - Esports World Cup Asia-Pacific Qualifier Playoffs,LoL: Team Secret Whales,LoL: Team Secret Whales vs GAM Esports (BO3) - Esports World Cup Asia-Pacific Qualifier Playoffs,2026-05-06T15:51:12.277016Z,13678.664487,0.0,,GAM Esports (BO3) - Esports World Cup Asia-Pacific Qualifier Playoffs,,0.003423974314698852,0.0
Valorant: TEC Esports,All Gamers (BO5) - Esports World Cup China Qualifier Stage 2,Valorant: TEC Esports vs All Gamers (BO5) - Esports World Cup China Qualifier Stage 2,2026-05-20T03:08:28.001923Z,7987.8094070000025,0.0,,Valorant: TEC Esports,,0.001999468169299054,0.0
All Gamers (BO5) - Esports World Cup China Qualifier Stage 2,Valorant: TEC Esports,Valorant: TEC Esports vs All Gamers (BO5) - Esports World Cup China Qualifier Stage 2,2026-05-20T03:08:28.001923Z,7987.8094070000025,0.0,,All Gamers (BO5) - Esports World Cup China Qualifier Stage 2,,0.001999468169299054,0.0
LoL: Deep Cross Gaming,GAM Esports (BO3) - Esports World Cup Asia-Pacific Qualifier Playoffs,LoL: Deep Cross Gaming vs GAM Esports (BO3) - Esports World Cup Asia-Pacific Qualifier Playoffs,2026-05-05T08:00:45.583177Z,6026.348526,0.0,,LoL: Deep Cross Gaming,,0.0015084851729536602,0.0
GAM Esports (BO3) - Esports World Cup Asia-Pacific Qualifier Playoffs,LoL: Deep Cross Gaming,LoL: Deep Cross Gaming vs GAM Esports (BO3) - Esports World Cup Asia-Pacific Qualifier Playoffs,2026-05-05T08:00:45.583177Z,6026.348526,0.0,,GAM Esports (BO3) - Esports World Cup Asia-Pacific Qualifier Playoffs,,0.0015084851729536602,0.0
