country,opponent,commence_time,venue,p_win,closeness,trends_interest_per_capita,game_weight_for_country
Saudi Arabia,Uruguay,2026-06-15T22:00:00Z,home,0.1466132059284984,0.8273040771552523,288000000.0,2382.6357422071264
Uzbekistan,DR Congo,2026-06-27T23:30:00Z,away,0.3325887670596281,0.9952095704667656,238000000.0,2368.598777710902
Japan,Tunisia,2026-06-21T04:00:00Z,away,0.510453858713173,0.9341000177141868,250000000.0,2335.250044285467
Brazil,Haiti,2026-06-20T01:00:00Z,home,0.9022651994600188,0.3416262160970277,645000000.0,2203.4890938258286
Iraq,Senegal,2026-06-26T19:00:00Z,away,0.1481332422481745,0.8333513543822001,258000000.0,2150.046494306076
Algeria,Austria,2026-06-28T02:00:00Z,home,0.2677557606061063,0.97560934848284,220000000.0,2146.340566662248
Colombia,DR Congo,2026-06-24T02:00:00Z,home,0.6283836753935859,0.8229491137887812,260000000.0,2139.6676958508315
Spain,Uruguay,2026-06-27T00:00:00Z,away,0.5772187356121709,0.8834038776424702,240000000.0,2120.1693063419284
Colombia,Uzbekistan,2026-06-18T02:00:00Z,away,0.6730774525965205,0.770462070772218,260000000.0,2003.2013840077666
DR Congo,Portugal,2026-06-17T17:00:00Z,away,0.08830868042168,0.6607216920574163,297000000.0,1962.3434254105264
Algeria,Jordan,2026-06-23T03:00:00Z,away,0.5725276856034155,0.8859016500337069,220000000.0,1948.9836300741554
Uzbekistan,Colombia,2026-06-18T02:00:00Z,home,0.1191849920201558,0.770462070772218,238000000.0,1833.6997284378788
France,Norway,2026-06-26T19:00:00Z,away,0.5527451729194611,0.9040815926006152,201000000.0,1817.2040011272366
Algeria,Argentina,2026-06-17T01:00:00Z,away,0.1139427869531362,0.765125963356679,220000000.0,1683.2771193846938
Argentina,Austria,2026-06-22T17:00:00Z,home,0.5711940517420082,0.8859275125000925,188000000.0,1665.5437235001739
Iraq,Norway,2026-06-16T22:00:00Z,home,0.0806385247268436,0.6305429011823727,258000000.0,1626.8006850505215
France,Senegal,2026-06-16T19:00:00Z,home,0.654197293796388,0.7972968356585639,201000000.0,1602.5666396737136
Uzbekistan,Portugal,2026-06-23T17:00:00Z,away,0.0713129478603195,0.605193793141346,238000000.0,1440.3612276764036
Argentina,Algeria,2026-06-17T01:00:00Z,home,0.6754669028227119,0.765125963356679,188000000.0,1438.4368111105566
