#match,group,date,local_time,stadium,city,country,day,UTC_Offset,side,opponent,localtime,country_odds,opponent_odds,country_weighted,opponent_weighted,p_win,closeness,trends_interest_per_capita,game_weight_for_country,local_hour
17,I,2026-06-16,15.0,MetLife Stadium,New Jersey,France,1,-4,team_1,Senegal,20.0,France,Senegal,France,Senegal,0.654197293796388,0.7972968356585639,201000000.0,1602.5666396737136,20
43,I,2026-06-22,20.0,MetLife Stadium,New Jersey,Norway,2,-4,team_1,Senegal,1.0,Norway,Senegal,Norway,Senegal,0.449558089773376,0.9735362766185184,38500000.0,374.8114664981296,1
20,J,2026-06-16,0.0,Levi's Stadium,San Francisco,Austria,1,-7,team_1,Jordan,8.0,Austria,Jordan,Austria,Jordan,0.7105460123583158,0.7224298025551159,45000000.0,325.0934111498022,8
67,L,2026-06-27,17.0,MetLife Stadium,New Jersey,Panama,3,-4,team_1,England,16.0,Panama,England,Panama,England,0.0780333562283418,0.6165365018763684,48400000.0,298.40366690816234,16
44,J,2026-06-22,23.0,Levi's Stadium,San Francisco,Jordan,2,-7,team_1,Algeria,9.0,Jordan,Algeria,Jordan,Algeria,0.1791288177333712,0.8859016500337069,70000000.0,620.1311550235948,9
31,C,2026-06-19,21.0,Lincoln Financial Field,Philadelphia,Brazil,2,-4,team_1,Haiti,22.0,Brazil,Haiti,Brazil,Haiti,0.9022651994600188,0.3416262160970277,645000000.0,2203.4890938258286,22
11,E,2026-06-14,19.0,Lincoln Financial Field,Philadelphia,Ivory Coast,1,-4,team_1,Ecuador,23.0,Ivory Coast,Ecuador,Ivory Coast,Ecuador,0.2678478558194909,0.9848465937826232,84000000.0,827.2711387774035,23
56,E,2026-06-25,16.0,Lincoln Financial Field,Philadelphia,Curaçao,3,-4,team_1,Ivory Coast,16.0,Curaçao,Ivory Coast,Curaçao,Ivory Coast,0.1003008043429028,0.7114477822386777,5735000.0,40.80153031138816,16
42,I,2026-06-22,17.0,Lincoln Financial Field,Philadelphia,France,2,-4,team_1,Iraq,22.0,France,Iraq,France,Iraq,0.8453445907015865,0.4731390617623585,201000000.0,951.0095141423404,22
68,L,2026-06-27,17.0,Lincoln Financial Field,Philadelphia,Croatia,3,-4,team_1,Ghana,22.0,Croatia,Ghana,Croatia,Ghana,0.5421329005144228,0.9129012987531177,36000000.0,328.6444675511223,22
48,K,2026-06-23,22.0,Estadio Akron,Guadalajara,Colombia,2,-6,team_1,DR Congo,23.0,Colombia,DR Congo,Colombia,DR Congo,0.6283836753935859,0.8229491137887812,260000000.0,2139.6676958508315,23
50,B,2026-06-24,15.0,Lumen Field,Seattle,Bosnia and Herzegovina,3,-7,team_1,Qatar,23.0,Bosnia & Herzegovina,Qatar,Bosnia & Herzegovina,Qatar,0.5499507294609177,0.9046642994229948,59400000.0,537.3705938572589,23
