match,group,date,time,tz,team1,team2,stadium,city_name,country,lat,lon,kickoff,temperature_2m,relative_humidity_2m,elevation,apparent_temperature,team1_camp_name,team1_camp_latitude,team1_camp_longitude,team1_orig_team,team1_elevation,team1_temperature_2m,team1_relative_humidity_2m,team1_apparent_temperature,team2_camp_name,team2_camp_latitude,team2_camp_longitude,team2_orig_team,team2_elevation,team2_temperature_2m,team2_relative_humidity_2m,team2_apparent_temperature
51,B,2026-06-24,12:00,UTC-7,Switzerland,Canada,BC Place,Vancouver,Canada,49.277,-123.112,2026-06-24 12:00:00,18.5,69.13333333333334,18.0,19.04666666666667,SDJA,32.93497,-117.242645,Switzerland,66.0,18.96798245614035,77.4828947368421,19.705043859649123,National Soccer Development Centre,49.244286,-123.133575,Canada,0.0,16.23574561403509,75.84166666666667,15.60359649122807
52,B,2026-06-24,12:00,UTC-7,Bosnia and Herzegovina,Qatar,Lumen Field,Seattle,USA,47.595,-122.332,2026-06-24 12:00:00,19.466666666666672,59.2,10.0,19.92666666666667,RSL Stadium,40.597538,-111.895325,Bosnia and Herzegovina,1350.0,23.916052631578943,25.87061403508772,20.818771929824564,Westmont College,34.481544,-119.69774,Qatar,157.0,20.672236842105264,61.52456140350877,21.214254385964914
7,C,2026-06-13,18:00,UTC-4,Brazil,Morocco,MetLife Stadium,East Rutherford,USA,40.814,-74.075,2026-06-13 18:00:00,24.84,52.2,4.0,23.98,Columbia Park Training Facility,40.808434,-74.0199,Brazil,4.0,22.169561403508773,67.97850877192982,22.612149122807015,The Pingry School,40.667835,-74.57507,Morocco,90.0,22.1440350877193,65.6280701754386,22.536754385964915
5,C,2026-06-13,21:00,UTC-4,Haiti,Scotland,Gillette Stadium,Foxborough,USA,42.091,-71.264,2026-06-13 21:00:00,19.266666666666666,73.53333333333333,84.0,19.14,Stockton University,39.47276,-74.5643,Haiti,25.0,22.637412280701756,70.97631578947369,23.67236842105263,Charlotte FC,35.184532,-80.816345,Scotland,220.0,25.38267543859649,64.8280701754386,26.99122807017544
30,C,2026-06-19,18:00,UTC-4,Scotland,Morocco,Gillette Stadium,Foxborough,USA,42.091,-71.264,2026-06-19 18:00:00,23.35333333333333,63.733333333333334,84.0,23.666666666666664,Charlotte FC,35.184532,-80.816345,Scotland,220.0,25.38267543859649,64.8280701754386,26.99122807017544,The Pingry School,40.667835,-74.57507,Morocco,90.0,22.1440350877193,65.6280701754386,22.536754385964915
49,C,2026-06-24,18:00,UTC-4,Scotland,Brazil,Hard Rock Stadium,Miami Gardens,USA,25.958,-80.239,2026-06-24 18:00:00,27.84,74.06666666666666,5.0,31.773333333333333,Charlotte FC,35.184532,-80.816345,Scotland,220.0,25.38267543859649,64.8280701754386,26.99122807017544,Columbia Park Training Facility,40.808434,-74.0199,Brazil,4.0,22.169561403508773,67.97850877192982,22.612149122807015
50,C,2026-06-24,18:00,UTC-4,Morocco,Haiti,Mercedes-Benz Stadium,Atlanta,USA,33.755,-84.401,2026-06-24 18:00:00,31.4,44.733333333333334,316.0,32.20666666666666,The Pingry School,40.667835,-74.57507,Morocco,90.0,22.1440350877193,65.6280701754386,22.536754385964915,Stockton University,39.47276,-74.5643,Haiti,25.0,22.637412280701756,70.97631578947369,23.67236842105263
4,D,2026-06-12,18:00,UTC-7,USA,Paraguay,SoFi Stadium,Inglewood,USA,33.953,-118.339,2026-06-12 18:00:00,21.166666666666668,60.4,38.0,19.6,Great Park Sports Complex,33.63796,-117.80397,USA,82.0,19.44030701754386,73.43552631578947,20.019824561403507,Spartan Soccer Complex,37.363796,-121.91234,Paraguay,22.0,19.767061403508773,55.69736842105263,18.706491228070178
6,D,2026-06-13,21:00,UTC-7,Australia,Türkiye,BC Place,Vancouver,Canada,49.277,-123.112,2026-06-13 21:00:00,14.306666666666668,74.6,18.0,12.626666666666663,Oakland Roots/Soul Training Facility,37.785587,-122.16867,Australia,9.0,16.256140350877192,75.73552631578947,15.425307017543858,Arizona Athletic Grounds,33.356766,-111.66667,Türkiye,405.0,33.866359649122806,17.053947368421053,31.62574561403509
32,D,2026-06-19,12:00,UTC-7,USA,Australia,Lumen Field,Seattle,USA,47.595,-122.332,2026-06-19 12:00:00,16.786666666666665,62.93333333333333,10.0,16.14666666666667,Great Park Sports Complex,33.63796,-117.80397,USA,82.0,19.44030701754386,73.43552631578947,20.019824561403507,Oakland Roots/Soul Training Facility,37.785587,-122.16867,Australia,9.0,16.256140350877192,75.73552631578947,15.425307017543858
