month,day,hour,stadium,city,latitude,longitude,utc_offset_seconds,timezone,timezone_abbreviation,elevation,temperature_2m,relative_humidity_2m,apparent_temperature
6,12,17,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,21.80666666666667,60.86666666666667,21.813333333333333
6,12,18,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,21.526666666666667,60.86666666666667,21.186666666666664
6,12,19,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,20.913333333333334,61.4,20.186666666666664
6,12,20,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,19.779999999999994,62.8,18.753333333333337
6,12,21,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,18.59333333333333,64.86666666666666,17.32
6,12,22,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,17.68,65.73333333333333,16.266666666666666
6,12,23,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,17.16,71.66666666666667,15.913333333333334
6,13,0,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,16.493333333333332,70.46666666666667,15.400000000000002
6,13,1,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,15.686666666666666,70.46666666666667,14.42666666666667
6,13,2,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,15.166666666666666,72.73333333333333,14.013333333333334
6,13,3,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,14.819999999999999,74.8,13.720000000000002
6,13,4,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,14.593333333333334,78.0,13.506666666666668
6,13,5,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,14.333333333333334,81.33333333333333,13.253333333333336
6,13,6,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,14.386666666666667,82.4,13.24666666666667
6,13,7,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,15.006666666666666,79.13333333333334,13.886666666666667
6,13,8,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,16.346666666666668,72.86666666666666,15.193333333333332
6,13,9,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,17.966666666666665,66.06666666666666,16.88
6,13,10,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,19.473333333333336,60.666666666666664,18.59333333333333
6,13,11,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,20.413333333333334,58.4,19.806666666666665
6,13,12,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,20.899999999999995,58.333333333333336,20.66
6,13,13,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,21.086666666666666,58.86666666666667,20.89333333333333
6,13,14,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,21.326666666666668,57.666666666666664,21.04
6,13,15,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,21.44666666666667,57.13333333333333,20.959999999999997
6,13,16,BMO Field,Toronto,43.690685,-79.41174,-14400,America/Toronto,GMT-4,83.0,21.486666666666668,56.93333333333333,20.866666666666667
